system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/relationship/p/255935230,2024-06-23 23:30:43,男友半夜拿我手機加入a片群,"如題，之前知道我手機有這個群，要我幫他加進去，我說你拿我手機看就可以了⋯⋯（因為各種原因覺得尷尬）
過了一年多吧⋯⋯就是今天！ 我起床看到我手機位置不一樣，加上昨天晚上睡到一半，發現枕邊人不見，我知道他拿我手機但我不知道做什麼，問他他說拿去玩，因為睡不著，但他最後還是拿他自己的手機玩（玩遊戲），我大概看了一下手機發現，群組的訊息都已讀（因為我很少打開來）當下傻眼🙄我說幹嘛加進去還不說，他都不說話了⋯⋯ 我越想越不對勁，一直思考我們的問題⋯⋯
剛在一起❤️次數一週3次 我覺得少
在一次半年後 次數變兩三週甚至最長可能兩個月一次，但我們同居後也沒改善⋯⋯ 我就不太懂明明也有性需求，為什麼次數不多
我知道工作累，我知道很多事要煩，也知道我們身體狀況都不是很好，但這個問題就是這樣嗎？ 
很想知道他的想法，但他很討厭人問他問題，每次問之前問過的問題都會生氣，可是這件事還是很困惑，也不知道該怎麼辦…",relationship,2,,F,
2,Dcard,https://www.dcard.tw/f/relationship/p/255935204,2024-06-23 23:19:57,請問各付各的,"我交了一個女朋友，大約兩個月

不管是吃飯買東西我女朋友都要各付各的

我送我女朋友禮物我女朋友就要拿錢出來或問我多少錢要給我…

重點來了一直這樣我找不到任何方式對女朋友好，也不感送女朋友好的東西！

因為女朋友一直要出錢
這該怎麼辨

還是真的喜歡的就是這樣。

因為之前交的都會要我付錢

但不用的前任是我追她的！

這一次是現任女朋友追我跟我告白的難道是這樣變成都女朋友要付錢讓我覺的怪…

而且有時女友還會請又喝飲料，我不讓女友請有時女友還會生氣，後來不得以還讓她請客

不過我要請女友，她就不讓我請客。

我也不是沒錢我的收入比我女友薪水高四萬元，
但就是不懂為什麼我女友要這樣也不知怎麼跟她說…

請大家了解的幫幫我我真的很困擾",relationship,5,,M,
3,Dcard,https://www.dcard.tw/f/relationship/p/255933487,2024-06-23 15:45:29,為什麼每個投票都很難找到跟自己一樣的選項,"本人逛低卡每次都會因為好奇女生喜歡什麼條件，所以去看看女生都投什麼，但是每次看看都是月薪兩三百萬身高180身材很好，每個條件都超夢幻很難判斷自己在女生眼中PR多少，所以想自己開個投票看看

Option #1: 身高173體重80台積男長相肥宅（這我
Option #2: 身高185體重70服務業長相帥
Option #3: 身高160體重45霸道總裁長相中上
Option #4: 身高175體重60工地男火雲邪神",relationship,13,wilsonlai36,M,水豚
4,Dcard,https://www.dcard.tw/f/relationship/p/255933483,2024-06-23 15:45:16,男生禮物選擇><（愛釣魚打棒球的熱烈歡迎）,"最近覺得男友在我身上開銷有點超標（自己感覺）
所以想說給他一個沒有節日的驚喜！
滑了以前曾經傳過的連結發現一雙拖鞋
準備下單發現沒貨了ಥ_ಥ
男友平常喜歡釣魚/打棒球/看劇/打遊戲
但是前兩樣我完全一竅不通⋯
所以想問各位了解的親朋好友應該怎麼選擇
類型或是相關用品之類的
大感謝🙇‍♀️🙇‍♀️",relationship,1,,F,
5,Dcard,https://www.dcard.tw/f/relationship/p/255938897,2024-06-24 08:50:16,INFJ (or INTJ) 神秘健身型直男的性格養成及交友攻略,"前言：
因為答應給原po 弟弟講完整攻略，花了不少時間想著想著就弄上來。

原po 的狀況：
- 帳面條件不錯、
- 生活圈狹窄都是同性、
- 想要儘量不用交友軟體、
- 把自己生活填得很滿 但是男性和大姊大
- 會[土法煉鋼] 邀約女生認識，但總是有隔閡
- 自稱想對大家都好、對人注入善意，卻被貼上「海王」的標籤、有中央空調嫌疑
- 單身6年，沒有不能維持，但還是會想要找到一個知心伴侶
------------------------------------------------------------------

我的解題思路：
由於 MBTI 一個模式，用自身的心理經驗與經營人生的方式回答。以自我成長為主，輔以提昇自己的社交能力、可靠感，並在不刻意繞道浪費時間亂槍打鳥的自我經營道路上，讓自己散發正向氣質、廣結善緣。

目標：
- 逐漸會有機會修練成仙（誤）或讓自己變成一隻績優股、排除掉玩咖女、一個「身邊會慢慢有好女生欣賞」或「知道你的優質的老人或三姑六婆都會願意幫你助攻的情況」。
- 不主張追求女生。也不花時間 blind date。而是要把自己的展現的氣質變得「舒服、溫暖」，面對類似「萬一在火車同座、或是在路邊隨機場合」有女生需要幫忙，或自己剛好有什麼共同點適合認識交流時，這個女生會躲避或覺得為難的 直男barrier可以消失。
- 不海不渣不約不嫖。也一次篩選過濾掉身邊出現這種可海/可渣/可約/可賣的感情觀不單純讀異性。
機會：
- 過濾後碰到很契合的異性時，彼此會因為前期的過濾而很快認知到是對方。能夠跳過猜心的追求、樸實無華的牽起手。在一起之後再認真輸出自己的大愛以及珍惜的經營就好。沒伴也不強求

正文
－－－－－－－－－－－－－－－－
0 猜忌迴圈

因為我相信你全部放上來的內容，所以幫你解看看。 __ 有一個政治心理及人際動力學的概念叫「猜忌迴圈」。 如果A做什麼取決於B做什麼，而B做什麼取決於A做什麼，那麼軍備競賽、掠奪性定價和衝突就會發生。 這種惡性迴圈是升級系統原型的決定性元素。 ⋯⋯ 「渴望安全感」的是核心驅策行動的核心方針，卻存在根本性的困境：雙邊採取更多的措施以獲得安心，雙邊就越不能安心。 
由於女生一旦交友不慎，性別上更吃虧，大部分女生（特別是年輕經驗不足的）喜歡同儕「口碑」。 白話文就是一旦你有異性緣突破，社群上看起來受女生歡迎，或開始有好口碑（背地裏）在異性當中流傳，更多的異性要近你、跟你互動的心理門檻就會降低。 我相信在「興趣優質、外型不錯、感情觀乾淨、整體透露健康生活與人際關係單純」，98%的女生第一印象不會排除跟你認識的意願。 然而生活圈導致你的人緣無法出圈，而這就很考驗女生要怎麼信任你（你連休閒興趣都不適合破冰的）。 

這件事非常的弔詭，經濟學和人際動力學上被稱為「凡有的、還要加給他，沒有的、連他所有的也要奪去」的馬太效應。 ——看起來有海王樣（但不是真的海王）反而不是會被當海王，但生活圈中與社群上一個異性都看不到的，被貼標籤後反而啞巴吃黃連。 

這種情況我見過不只一個。我作為虛長差不多一輪的同性一看你運動紀錄跟INFJ就懂了。因為你非常會填滿自己的時間，而且以你的代謝量跟鍛鍊，也沒辦法到處亂吃什麼；自己下廚煮健康餐是必須的。 時間不亂花、有很高的反思以及獨處學習生活的能力。一個人逛書店、一個人上街一個人出國旅行、一個人看電影都不在話下。 

但無法這樣推理的異性，無法信任你 
→ 「你旅行、看電影、逛街，是跟誰約會？」
→ 「出國？去越南泰國跟炮兵團？」 
→  在外圍看，只會覺得你可能私下約很大、「時間管理大師」。 
這時候再加上你那些拉椅子、搶買單的動作，還有你健身不吃甜食卻專門點來跟對方吃⋯⋯ 一個中央空調暖男，女生直接對你防備心拉滿😂😂 

「為什麼你外在這麼體面，沒有一個其他女生願意試？有問題嘛～」「為什麼你要把約過交往過的女生藏這麼好？」 ——這就是「猜忌迴圈」。

由於現在人心險惡，知人知面不知心。對於陌生的種族過於接近的舉動，現在人（特別是兩性關係上身體比較容易吃虧的女生）會忘壞、惡意的方向去猜，或至少會覺得十分有壓迫感、也很不自然。沒有口碑，你越有誠意、越紳士，人家越防。 要我腦補情境，搞不好你遇過女生兩兩交換情報，彼此慶幸如何閃掉了海王套路沒有上鉤。 （也就是因此，才會都是阿姨、大姊姊們貪婪地對你出手。因為通常她們品男的歷練眼界多了，沒幾下就能判斷你是乖乖優質小鮮肉。 同時我想她們包袱也比較少沒什麼不敢嚐、甚至覺得你的反應很好預測都說不定。不至於防你是肯定的。）


1. 萬事起頭難

一間新開的店、沒有人排隊。新上架購物商城的新貨品，沒有交易記錄…第一單一定最難，因為沒口碑。（年輕）女生就跟猶豫中的顧客一樣，你一個舉動怪異，人家就不願意冒險了。
增加社群互動的透明度：
由於外界對你的不夠信任，一部分來自於你私人獨處生活的不透明，你應該考慮經營社交媒體、記錄日常活動。例如健身、旅行、電影、讀書和其他興趣愛好。
健身是很多素材的，也幾乎沒有在練的人是不記錄的。所以這部分不用多談。旅行，也一定會照相、會有心得吧？這些就跟電影、讀書、下廚做菜是一樣的。
假如你的生活真的如此「精實」和多彩多姿，那麼誠實地呈現出來就是一張個人簡歷、一個自己的無聲口碑。
對電影及讀書的藝文氣質呈現，要避開的雷：
不要：不要拍一張票根存根跟手指入鏡、不要拍攝淨空的書店走道這種意義不明的無人圖，不要講一兩句堆含混的文青呢喃，
要：寫一點真的自己思考過的內容和感觸。只要是來自你本人的靈感、GPT可以幫你 blow up、言之成理——但想法得要是你的，我不教旁門左道。
要：電影，拉一張劇照放頭比較好看。末張圖可以放票根（擺好、手指不要入鏡）。書，可以是一段你畫線的話。配文一樣 Idea + GPT。如果逛書店，拍攝整片書牆、相機拿正／圖片轉正，格局方正又書多的樣子是比較好看的。
你生活中最接近女性的共同喜好，就是這些藝文活動部分了。你不應該浪費這部分。特別是你其他運動的部分這麼陽剛，就算要認識你找話題，女生大多也得從這部分找。（還有一個部分就是音樂）

2. 「直男式油膩」是大忌

關於直男這部分，你說周邊男生認為你直男，我認為認識你的女生一定也是一樣看法，毫無可疑空間。但是你的陽剛的方式太陽剛，紳士的部分又太刻意生硬，這就造成一種所謂「直男式油膩」，直接效果是把女生嚇跑及勸退。

女生的內心感覺應該是偏向：「壓力很大」、「不想被你那麼刻意地「『呵護』」、「太有目的性的感覺」、「擔心接受你的好意，又無法下定主意回應你、冒險跟你發展關係…」
基於以上想法，被你對到眼、約會吃飯過一次的女生，大概就只好先閃、觀望退避一點距離再說——一旦閃了，又沒辦法只退一點點退到能「觀望的距離」——你生活圈太固定跟封閉了，阻隔了人們從生活圈慢慢看懂你的為人意圖、還有控制節奏跟你慢慢先作朋友的可能性。

因為你的戀愛手法粗糙，整個人又壯，普通年輕女生（自己是健身的女生就沒問題）要跳過觀察期、朋友期，直接鎖定跟你一對一曖昧的，除非自己也超級缺戀愛經驗，不然你要的「氣質型」真的會跟你這個相處模式不太搭。

3. 「憑實力單身」的直男邏輯

從你的自介，還可以一一舉例修正：
「大學之前，都在體育班和男校。健身這一塊，因為自己訓練強度比較高，所以女生基本上也不敢問我或是找我一起訓練（題外話：最近一、兩個月把每週一cycle的肌群訓練提升至兩cycle）」
→ XD 所以難道你的訓練知識用在幫忙健身初心者的妹子踏入第一步嗎？難道一般的初入健身房的妹子，看到一堆雄激素在那推大重量、槓片砸下來回彈的鏗鏮聲、悶喘聲，是會露出痴女樣的嗎？

女生做一些事都知道有欣賞的目標異性在時，要收斂（如爽朗大笑聲、吃相），男生也一樣。如果你都知道問題是你都這樣所以女生「不敢」借鏡你的專長，還要繼續這種只能吸引基佬、憑實力單身的「專業模式」嗎 ？

「興趣」模式：在該成為關係引路的媒介時，它就有要興趣的樣子——專業是留給自己的。
「在學時，同性友人也幫我設法安排過桌遊聚會（阿瓦隆），但後面因為我太擅長（騎士牌常被當成梅林），我很容易猜透對方身分，朋友們覺得沒意思，後面就不了了之了」
→ XD 所以你這不就是「憑實力玩沙」嗎？男女相處的女生都會在某些時候事實裝弱、裝不懂，所以難道你玩個牌都要這麼掃大家興嗎？很會玩可以去玩德州撲克賺錢。但是平時隨性一點、放鬆一點，才會讓你覺得你好相處、有彈性。


4. 認識自覺 IN-J 「機器人」般的開關思維

你還有一些自己的文字我搜刮來幫你拼湊，當作照照鏡子：
「外表、行為舉止、氣場都讓人感覺難以親近，但認識後，才發現和想像不一樣」
「吃飯會幫女性友人拉座位、買水會主動幫忙擰開瓶蓋（在女性面前，避免被誤會有在水中加料）、女性友人選甜點三心兩意時，我會點她另外想選的甜點再跟她分享，畢竟自己不是很重甜食，」

IN-J 這三個性向，都會反應在性格及做事喜歡「模式化」、「規律化」，不太喜歡散慢、不太喜歡模糊、彈性、隨感覺隨適調整；所以你會遠不如有 ES-P 這三個的人容易跟破冰跟人打成一片、拓展生活圈交新朋友，這是本性、個性，無關對錯。

「在工作上，必須表現得沈穩，…想說在Dcard上又是匿名的情形下不用那麼沈穩嚴肅」 → 例如這裡，你在這一版文章是想表現得不那麼嚴肅，卻變成充滿表情包誇張不真實的文風，被人家指出不自然（不能只說你，我 MBTI 跟你一樣，也是一樣問題——不會「演戲」、過猶不及、事情想太多、展現出來的都是給人僵硬感）

我們只能多注意：
不要把生活模式當練功模式
不要把跟女生約會流程化。特意給有意認識追求的女生開啟「殷勤模式」不可能手段自然。
女生只會雞皮疙瘩OS：「現在是要上演求婚大戲了逆？」「還是等下要去開房間才能回應你這套了？」

5. 不要對女生太好

INTJ / INFJ 過來人保證基本性格不變，但待人接物的純熟度會倒吃甘蔗。極端的部分，一開始只有0到100、慢慢會抓到10跟90的感覺、再慢慢地社交肌肉，的操控感會更好。
就像健身如果只有做大重量大肌群，身體是僵硬的。瑜珈、拉筋、籃球的配合，這些肌肉筋腱整合協調的動作也要多做，把柔軟度及小肌肉的靈活度練起來。

但是，一開始請不要對女生太好。「無事獻殷勤非奸即詐」，這就是猜忌迴圈。女生的猜忌是「騙炮？」這個只要你有那根，都洗不掉。所以要突破「猜忌迴圈」，你下面這句話的意思要整骨一下：

「我也想全心全意對一個人好，但沒另一半，就只好對大家都好，活在這個充滿惡的社會，我希望更多人能接收到世界的善意～」 → 「活在這個充滿惡的社會，我希望更多人能接收到世界的善意～所以我想全心全意對每個人好，直到可以回應我的人出現」
這兩個意思有什麼不同？

次序非常不同！一個是：博愛只是你愛不到「另一半（魚）」的「蝦」，另一個是，博愛才是你對待世界的底層基本心態，而你會不求回報地直到這世界以自己的善良方式回應你。
次序的不同帶出不同的應用對象。

假設你的是愛不到另一半你才「博愛」，那你的博愛當然是只會聚焦在能夠給你「另一半」想像、跟替代感受的女生身上；如果是這樣，嘴上講著那些博愛正能量的話，實際上人的一股油味就飄散出來了。

失學少女大家都想救助，不缺你一個。

6.  說到做到「全心全意對人好」 ：真暖男心態養成

真暖男，是社會關懷、體貼照顧弱勢的。眼光本就不應該只有年輕妹子嗎？：年輕漂亮妹子根本不缺幫助、不缺工具價值，你我關心他們，真有自己說的那麼暖？如果你的關愛很有針對性，誰不認為你是想騙人家尿尿的地方？

同為男性都是同感，所以不單是為了打破「猜忌迴圈」（我早就打破了），也是為了獲得真正的自我價質感、社會連結感，我決定把目光轉開，擴展個人對人文和公益的關懷。

像是：我本來多年就有定期去花蓮偏鄉給社會局的感化少年上課；去北海岸淨灘；去台北車站跟印尼移工過齋戒月；去萬華分發街友食物；中秋節邀請單親帶三個小孩擺麵攤阿姨一起來家裡烤肉、除夕夜吃年夜飯給他們紅包打氣。天災後，去原住民深山部落幫他們送物資。

我會投書倡議非主流議題，為弱勢權益發聲；在路上幫助觀光客英文帶路；幫西門町捷運提大包小包拉登機箱的日韓女生拉上樓梯，點個頭然後飄走。對不分性別未曾謀面的網友，我熱心分享經驗、給予幫助或開導。——做這種事，心態會變得很瀟灑、背影會變得很帥氣。

對於女生，我後來每年都有人一直主動黏跟追。後來我也學到，大家都是人生父母養。像有些是粉絲，有時候有點侵犯生活空間和講話越線，我也學習如何更有耐心好好接住心意、跟對方說明可以有合理但不要有不合理期待。


--------
00. 總結紀要：

- 口碑傳播：女生看到「其他女生」也想貼近的強者就會很快接納，因為她們更信任「同儕」的口碑和眼光。

- 「不要」在約會時對女生刻意大方、失去冷靜：而是要對整個社會、對這個世界大方敦厚、熱忱。在現代社會，年輕美女不是弱者、不缺關注不缺資源。要打破女生「猜忌迴圈」，我們 IN-J 天生也不是靠獻殷勤破冰的料，必須要從我們自己整個做人原則的方式與順序調整開始，讓整個人的氣質態度，散發可靠、正經直男、高端禁慾的機械感。

- 自我成長：你的情感突破需求，雖然是希望女生「有口皆碑」，但我們的目的不是要爭奪選擇權、不是要讓自己獲得「海王」的選擇能力，而是給自己理出一個可以「長期穩健自我增長、與社會網絡與同儕關係和諧」的生活實踐路線。

- 自我策展：社群媒體的生活軌跡，就是公開名片，可降低你的獨處生活給予外界的不透明感、突生猜忌。將不斷自學精進的專業、自我外在維持、旅遊閱歷、藝文品味…等等策展表現出來，就是一個自己的生活作品集，有助於引起分享討論（無論是姊妹淘們私下討論你這個人，或以網友型式跟你互動，也觀察你的知識才學程度與談吐素養）。

- 施力對象：我們的心法從一慢慢推到六、六最關鍵。我們說過，身為INFJ/INTJ 的男人，經營沒有框架、模稜兩可、曖昧猜心收放自如欲拒還迎的拉扯感，不是我們的強項、內心也會很焦慮不舒服。我們不喜歡做事鬆鬆的、不到位。但我們如果一下太用力、太流程化，很少有女生不感到壓力。所以在我們變成一個有口碑能夠讓人家願意排隊的「名店」之間，我們都不應該像這個客群兜售自己的社會價值。

想像請人試吃、試用產品，「（熱門的）女生」這個客群會怕試用就要買、試吃其實有毒——因為太多人想營銷她們、太多人想要她們掏錢購買自己。所以先不用管她們（以後也不一定用管）。我們應該把力量用在不會「嫌棄」、「猜疑」、也無法回饋我們的對象。例如：獨居老人、流浪狗貓、育幼院童、罕病患者、性少數、街友遊民、陌生路人…
（話說：有次我曾摔車，當下傷到起不了身，一對 Youbike 年輕情侶經過立刻停下，男生來關心我、女友則立刻叫男生先幫我扶車移開馬路。最後靠他們叫的救護車。想起來非常感激，祝他們幸福～各自有好報。）",relationship,0,breath36,M,威斯康辛大學麥迪遜分校
6,Dcard,https://www.dcard.tw/f/relationship/p/255933504,2024-06-23 15:46:43,意外,"113/06/23
 大家好我的名字叫做李柏賢，
交友軟體的名字叫做Sam 現居台中，彰化人，今年25歲 生日是1月13日，摩羯座♑️。
使用了這些交友軟體：OMi，探探，tinder 柴犬
昨天晚上機車的引擎壞了，油門摧不上去導致時速最高只有到25而已，今天早上有牽機車去修理，但是要一筆錢，所以老婆跟我說先騎腳踏車送，一開始我還不要，因為覺得太慢而且也會很累，但老婆跟我說，天無絕人之路，我今天也不能夠因為機車壞了然後就不跑外送，有方法可以去賺錢就要去。（剛開始我還跟老婆說機車引擎已經壞了操壞了再說這種顧前不顧後的想法），被老婆唸了一頓，說這樣很不負責任。
後來也是只好硬著頭皮騎腳踏車去外送了。
雖然真的送的很慢，天氣也很熱，但是不無小補，而且這也是等於在培養責任感。
我不會在賭博也不會在出軌跟無縫接軌了。以此貼文做為證明。
以下是我在交友軟體上面的照片

",relationship,0,sam880113,M,鬥雞哥
7,Dcard,https://www.dcard.tw/f/relationship/p/255933534,2024-06-23 15:49:56,關於天秤男...,"幾年前認識的一個曖昧天秤男，那時候我們屬於戀人未滿，也沒有發生關係,因為準備要發生關係時,我就退步了，我有點反感,後來是我消失逃離失聯了，電話也換了，誰知道事隔多年天秤男又出現，他說他一直在等我，他真的很愛我，很認真很認真的，他說他看破了，想要有一個安穩的家庭，請問他到底是？",relationship,3,,F,
8,Dcard,https://www.dcard.tw/f/relationship/p/255933592,2024-06-23 15:56:35,娘家的晚餐，先生很愛決定吃什麼。,"娘家每個月大概有兩個星期的週末會聚餐，
餐費都是爸媽付的，餐費多少不一定，
有時餐廳，有時路邊攤，
以往都是我們家討論，姐夫們都不太會有意見，
但是考量爸媽付錢，我們都不太會選太貴的，
或是每餐都吃餐廳。

自從先生加入後，雖然一開始還算客氣，
但是後來一到假日就會提出晚上要吃什麼，
而且很常是餐廳，
私下有跟先生講過不是他付錢請客，
不要常由他提說要吃哪家餐廳，
而且姐夫們也不太會主動提要吃什麼，
除非他們要請客，
他回答說： 「因為你們很常討論不出要吃什麼，
所以我就幫你們決定。」
我也跟先生說我去你們家，
也是你們家決定吃什麼我就吃什麼，
畢竟也不是我付錢，
先生覺得那根本沒怎麼樣，
還說：「你來我家說你晚餐要吃什麼，
吃貴一點的餐廳，
我爸媽其實也不會覺得怎麼樣。」
我能理解可能每個人家生活習慣跟觀念不一樣，
但跟先生講過了，
他還是持續會提出晚餐要吃什麼，
而且也很少請客，
三年來大概只有一次。。。
想詢問大家，如果是你們，你們會怎麼做？",relationship,4,,F,
9,Dcard,https://www.dcard.tw/f/relationship/p/255933411,2024-06-23 15:38:21,是我太貪心嗎,"乳題，最近大學期末考剛考完，想說很久沒跟女朋友出去玩就想約她出去走走逛逛，因為考前有一陣子沒出去玩，再加上我們暑假基本上根本不會見面，所以我有跟女友提到想出去玩一天的想法，但每次跟她提到這件事她都會回我一句不要，我很懶之類的話，我知道女友可能期末考結束之後很疲憊需要自己充電，所以我有跟女友說期末考結束的一週後出去，我不知道是不是我太貪心，但我的認知是情侶至少要撥一點時間陪伴彼此不是嗎，特別是之後兩個月見不到面，但每次跟女友提到且聽到她的回答之後我都會覺得很失落的🥲
  想請問各位大大有沒有什麼解決方法？（沒有要分手）
https://sticker-assets.dcard.tw/images/b914ee31-e409-4670-8cf6-52189a7bada7/full.png",relationship,0,,M,
10,Dcard,https://www.dcard.tw/f/relationship/p/255933597,2024-06-23 15:57:43,感情觀不一樣是否該放生,"跟穩聊對象聊了三個月
也見了很多次面 
雙方都是有好感的
有次因為希望他來陪我
他也就真的搭夜車上來找我
（在不同縣市）
所以真的蠻感動🥹
跟對方幽默也很合

但就是回訊息的頻率讓我在思考要不要放生
我自己是喜歡報備或是至少要說晚安的那種
或是要忙的話至少可以說一下要消失一整天也沒關係

但對方感覺是比較需要自己的空間
常常都會很久沒回 或是隔天才回這樣
就讓我開始思考是不是我們倆打從愛人的方式就不一樣🥲
或是日常訊息都是我關心他在幹嘛什麼的
他幾乎都不會關心我🥲

即使各方面都很合
但感覺在一起之後也會因為這個點分手
所以在想要不要放生⋯
（但想到他之前搭夜車上來找我就又會捨不得🥲）

所以想請版上的各位指點或是分享看法～
或是有沒有人想聊一聊類似的事情
讓我轉移注意力嗚嗚嗚嗚🥹",relationship,10,,F,
