system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/relationship/p/254295873,2023-12-31 14:43:07,男生想分手會直接說嗎,"前陣子因為一些事吵架，和好後男友就變的很冷淡…就連我主動破冰也是，之前都不曾這樣…吵架是因為之前有不小心瞄到男友跟其他女生聊天，但當下沒勇氣問清楚，自從那次之後，自己就變得很沒安全感，後來又知道一次所以吵架，男友覺得我無理取鬧

想問問大家如果男友不再主動傳訊息，已經失聯一週，是不是已經不愛了，不愛又不願意說清楚的原因是什麼😢難道這就是斷崖式分手嗎？💔",relationship,3,,F,
2,Dcard,https://www.dcard.tw/f/mood/p/254295642,2023-12-31 14:10:38,今年真的是糟透了,"半年前二伯（爸爸的二哥）走了，11/1爸爸急性心肌梗塞也走了，12月大嬸也走了，幾乎是在半年的時間內家族走了三人，走了最深愛的爸爸..

看著一年也將結束，本該是團圓的好日子卻格外空虛。看著身邊的人都沉浸在新年的喜悅，我卻失去了快樂的權利。

擁有世界上最好的爸爸是最大的幸福，失去他也是最痛最深沉的悲劇，爸爸走了以後世界好像就少了一些色彩，所有的興趣跟喜悅都褪色了，世上似乎沒有什麼值得留戀，但回頭看到媽媽和弟弟，我知道家裡不可以有任何一個人再出事，所以日子難過還是過，他們兩個一定比我還痛苦，一個是陪在爸爸身邊最久的人，一個年紀比我還小就失去爸爸，未來是這麼的遙遠又漫長…

然後真的不要再說他希望你好好的活著、他永遠在你心裡、你要堅強、節哀等等的「屁話」，除了沒用只是讓人不敢面對悲傷。依照完形心理學的概念，悲傷是段必經的歷程，必須把它走過。那些真的憂鬱、走不出來的往往都是沒有好好表達思念或情緒的人。

失去摯愛的親人，安慰是  沒  有  任  何  一  點  效  果  的，越講只是讓人越不開心。我想，陪伴已經足夠，剩下只能靠我自己用淚水清洗心裡的傷口。

我花了22年習慣有他在的生活，走出來本來就需要一段時間，只是，真的好漫長、好難過…

今年 真的是糟透了",mood,0,,M,
3,Dcard,https://www.dcard.tw/f/mood/p/254295911,2023-12-31 14:48:48,如果,"有些東西不想錯過
有些東西不想放下
有些東西不得不逼自己狠下心
讓自己強迫放下

有些東西你既然選擇放下分手時
就不該繼續做一些讓人疑惑的動作
或者繼續賴我說一些小事
分享八卦 甚至說一些
你有誰跟你開玩笑的告白
更不要說你對誰是可以
誇獎她眼睛如何漂亮

當你在用你的方式來告訴我時
你是不知道告訴我這些都是一種傷害
還想跟我退回朋友
朋友怎麼退回

如果還喜歡還愛 
誰會甘心只停止在朋友的界線
在一起時你也說過
我們沒有什麼東西可以分享

分手後再來跟我分享
我都搞不懂你到底想幹嘛

當初既然選擇分手覺得不合適
那就過好各自的生活
不需要在打擾各自的心情

當你挑撥我的情緒時
你有沒有想過你用你的方式
不是安慰我只是一直在刺激我
而我選擇用你的方式來對你
你就受不了了 
要我去認識其他男生
我也去認識了
你知道後卻自己受不了
嘲諷我 夾槍帶棒

本來我不想這樣搞得
會因為你敏感 會因為你說的每一句話
受到委屈難過刺激
讓自己變得不像自己
 
你我既然都錯過了
你也決定分手了
我也決定放手了

讓我們彼此各過各的生活
你去找你想要的女生
在一起不需要磨合就可以在一起很久的女生

而我繼續過好我要的生活
你也可以 
不要再別人面前再裝你多深情
你多受傷 大家都是成年人了
拜託不要這麼幼稚了好嗎？",mood,2,,F,
4,Dcard,https://www.dcard.tw/f/mood/p/254292800,2023-12-31 06:48:54,好累,"今天的我只想在家躺著 睡到不省人事
因為這幾天我真的好累
跟另一半同居 他的作息時間比我晚很多
我也已經好久沒有一整天自己一個人了

今天跨年夜 應該是最快樂的時候
沒辦法順著自己想睡的心 被另一半拖出門吃東西
好不容易喬攏要吃的東西
到現場後因為遇到熟人趕快換一間

到第二間店 送完菜單跟店員說桌號後
等了快半個小時還沒有餐點送上桌
才發現剛剛的店員以為我們已經點好了

吃完後的我滿肚子氣 我只想回家
但另一半說想去車站逛逛走走
不想掃興的我也決定配合他

在走出那間店過沒多久
我的頭就撞到人行道旁 在柱子上的牌子
已經好生氣和難過了 這一天彷彿在跟我宣戰

他是偏鄉來都市讀書的
很喜歡建築物跟車站之類的東西
但我真的已經習慣這些東西了
他覺得新奇的東西我覺得司空見慣

我以為我不想掃興的選擇 會讓兩個人都開心
結果我反而更生氣 更難過 更無力

眼前的這個人真的是我愛的人嗎？
我有過著讓我舒服的生活日常嗎？

我真的好想死！！！",mood,1,,M,
5,Dcard,https://www.dcard.tw/f/talk/p/254295864,2023-12-31 14:42:32,臺北市私立大同高級中學 吳O羽同學你的學生證掉了,,talk,0,,F,國立政治大學
6,Dcard,https://www.dcard.tw/f/relationship/p/254295677,2023-12-31 14:16:19,今年最大的收穫就是遇見了你4️⃣,"這次的見面是前1天才約的🤣
還好我沒有排事情

前1天
他丟了一部電影預告片給我
問我有沒有興趣
我看完預告片覺得還不錯
不過3部都沒看過
而這次上映的是前傳
想說能見到他
即便看不懂電影也沒關係
於是
我學他回：走呀🤣
他：那明天下班我去找你，先吃飯再看電影吧😊
我：好哦☺️

2023.12.08
當天上班
心思一直沒在工作上😅
等了一整天
總算等到下班
東西收拾好快步走出公司大門
深怕臨時有公事要處理

離開公司
我訊息他：我下班了
幾分鐘後他訊息我：我到了，你慢慢來
我加快腳步去找他
我：我到了，去哪裡找你？
他：走進來
我踏進大門沒幾步
他出現在我眼前
並開心的說：我找到你了🤣

我們往美食街方向走
最開始經過一間鐵板燒
我繼續往前走
想先找位置
回頭一看
人在離我有10步的距離
我看了看他，問：怎麼了？
他說：這個鐵板燒好像很好吃耶！
我說：哦～那我們坐那邊（看到有空位）
沒打算要理他關於鐵板燒的事😂

坐下來後
我：你先去看看你要吃什麼吧！
幾分鐘後他回來跟我說：應該讓你先去買的，我有選擇障礙🤣
我說：沒關係 我已經看好要買什麼了
迅速的點好餐
回到位置上坐下
沒多久餐點好了
我們邊吃邊著聊天

當我差不多快吃完
還剩一碗湯的時候
有一群家人正好在找位置
看到我們旁邊有空位
便坐了下來
然後其中一位媽媽站在我們倆旁邊
對著她的家人說「沒關係，你們先坐，他們快吃完了，我等他們。」
我聽到這段對話
我們倆互看了一眼
我把碗裡的料吃完
跟他說我們走吧！
離開後
我跟他說：傻眼餒！第1次遇到這種的😒

吃太飽的我們
決定就慢慢搭手扶梯上去
上樓中
我看到前面有對情侶牽著手
可惜他站在我斜後方
不然蠻想知道
他當時有沒有看到
是什麼表情
會不會有什麼動作😂

到了電影院
取完票後
還有一些時間
站在外面聊著他要出國的事
跟我分享著他想去的地方
看著他那樣有自信的說著
眼睛都離不開他😆

後來
看電影的過程中
我被劇情突如其來的爆破嚇一大跳
還被殘忍的殺戮震驚到用手摀住嘴巴
我發現他會時不時的看向我
然後笑著我的反應☺️
我們倆也會看著看著頭就偏向對方那邊

看完電影已經快11點了
他：欸 我們要趕快走了，不然我沒車回家
我：哦哦哦 好 我們趕快走吧
走太趕的我，硬生生的用大腿去撞椅子（痛🥺
他：你累了嘛 小心啦

陪他走到車站
直到我們要分開的路口
我：（手指著前方）往這裡走下去就能去搭車了
他：（他往我指的方向走，而他的手順勢的握了一下我的手😳）好 你到家跟我說哦
我：你到家要跟我說哦

後來我搭上公車
他訊息我：哭😭 班次延誤了
我：嗚嗚嗚 怎麼會 沒關係 我陪你 等你到家我再睡覺

我本來想弄好所有事情
等他到家我就去睡覺
結果我等到他到家才去洗澡🤣

我們的第4次見面
到此結束🔚

而我們的故事
未完待續⋯

https://sticker-assets.dcard.tw/images/764ff643-b618-4691-8e8b-7646a4d86e2d/orig.png",relationship,0,chentina1995,F,愛蛋黃哥的女孩
7,Dcard,https://www.dcard.tw/f/talk/p/254295689,2023-12-31 14:18:19,怎樣才能認識穿瑜珈褲的女生,"我真的很喜歡那種貼身的身形
很誘人 可是身邊的女生身材都不夠好不然就是沒在健身不積極
只想靠目前的年齡優勢去找男友
沒有想到如果分手了 年齡萬一過了 蛋白流失
年輕的不努力就該要面對了
正所謂「少壯不努力，老大徒傷悲。」",talk,1,,M,銘傳大學
8,Dcard,https://www.dcard.tw/f/talk/p/254295692,2023-12-31 14:18:31,母胎單身的跨年,"原來我不是孤單一個人，還有人跟我一樣
",talk,0,a850327,M,母胎單身27年
9,Dcard,https://www.dcard.tw/f/mood/p/254295887,2023-12-31 14:46:08,車禍腳斷掉的你,"剛復原又被公司強迫離職
到新公司有被強迫離職
陳先生不是每一個都吃你那一套
是不是想耍小動作
結果通通無效對嗎？
大家都互不認識
但是大家都排擠你
肌肉棒子只想強詞奪理
現在這裏沒有你太好了
跟你共事實在太累了
趁你病把你趕出公司是對的",mood,0,,M,
10,Dcard,https://www.dcard.tw/f/relationship/p/254295917,2023-12-31 14:49:21,其實仔細想想他也沒那麼愛我,"2023最後一天了，我在聖誕節前夕23號那天收到他的分手訊息，大致上的內容就是他壓力太大了，事情太多了顧及不上我這裡，對我說我很好不想再浪費我的時間，我對他的好他都有放在眼裡，我後來打給他跟他講了快一個小時，最終我尊重他的決定。

我們也很倉促的在一起，認識一個多月而已，我知道很好笑，自認為自己是特別的那個，他說他當初就是看到有希望，才選擇跟我在一起，但他只看到我好的一面，當在一起後我小女孩我那不成熟的撒嬌對他來講都是壓力的存在。

跟他在一起，我覺得失去自我，我每天都在懷疑他是否喜歡我是否愛我，一直不斷內耗自己。

他也很常忘記有約，然後一口氣答應我之後，當天才說那天跟朋友約好了不能陪我，而我總是說沒關係你去吧。

現在想想這段感情我過得多麼卑微真的是很好笑，現在我想我是不愛他了，畢竟時間也沒多長他也沒多愛，那我又何必自作多情？

2023快結束了2024快來了，希望新的一年我不急於愛情，而是把心思放在自己身上成為更好的人。

感謝各位看到這裡，也願大家心想事成，平安快樂。

題外話，不知道為什麼最近做什麼事情都不起勁，劇追完了就像個空殼一樣🫠",relationship,1,,F,
