system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/talk/p/255935216,2024-06-23 23:26:22,睡到一半被酸醒,有時候都會睡到半夜突然被右手臂酸醒，而且是從手臂酸到右腳然後又有一種尿急的感覺(完全沒有想尿尿)，整個過程大概幾秒鐘而已，幾秒鐘後好了過幾秒又開始了，就這樣一直循環，都沒辦法好好睡覺，有試過按摩手臂肌肉還有冰敷，但是都沒改善，有人有這樣的情況嗎？  有什麼方法可以解決或改善嗎？,talk,0,q00148,M,allen
2,Dcard,https://www.dcard.tw/f/talk/p/255935193,2024-06-23 23:14:11,在停車場正要離開時，被車子擋住會怎樣,"在停車場繳完費正要離開時

有車主因為懶得走路，把車子開到距離繳費機比較近的地方，再下車繳費

但他剛好擋到你離開的位子了，你會怎麼樣?

Option #1: 真白目 我會叭他
Option #2: 算了啦 等他一下吧",talk,1,,F,國立臺灣藝術大學
3,Dcard,https://www.dcard.tw/f/talk/p/255933439,2024-06-23 15:40:44,請問大家願意花多少錢去蜜月（2人）呢？,"Option #1: 30萬以下
Option #2: 30-40萬
Option #3: 40-50萬
Option #4: 50萬以上",talk,0,k9999303,M,一起看日出
4,Dcard,https://www.dcard.tw/f/talk/p/255933530,2024-06-23 15:49:41,中山、東門商圈廁所推薦,"不知道大家會不會在逛街的時候常常找不到廁所，或是常常遇到很髒的廁所。

前幾天在中山逛的時候，看到有人在推這個line聊天機器人，主要是整理了中山與東門商圈的優良廁所與公廁清單，可以看到廁所的評價與位置！突然不知道哪裡可以上，或是好奇咖啡廳的廁所品質好像可以參考一下！推給大家！
https://page.line.me/397pbfcb",talk,1,,F,國立清華大學
5,Dcard,https://www.dcard.tw/f/talk/p/255933536,2024-06-23 15:50:04,不喜歡機車約會,"我約會的時候都會認真打扮，每次都花兩個小時化妝、整理髮型，所以真的很不喜歡坐機車。
尤其現在夏天到了超級熱，超怕瀏海直接毀掉，也不能做造型（綁丸子頭之類的），放下來也會沒有蓬鬆感或很毛躁，然後妝容在還沒約會就溶掉一半，也不能穿短裙、長裙（每次都穿裙子，超愛裙子），所以我寧願搭公車。
我每天搭公車上下課、跟朋友出去玩，但男友都會說搭公車不方便，想要騎機車，不然懶得想約會地點（現在都是我在想地點）。
我以前有過乘坐機車的經驗，但都不是在需要精心打扮的時候，多少還是能體驗機車對外型的衝擊有多大，因為我真的超愛漂亮，有約就一定會弄精緻，真的無法接受我的打扮被毀掉。
重點是，我可以接受搭公車，不是只接受汽車載的人，但每次男友在抱怨搭公車很麻煩，想要騎機車就覺得很煩，我也不想因為他就降低我的自我要求/底線。




對了，這幾天對他很沒耐心，懶得花時間跟他聊天。
因為前陣子我叫他花個時間陪陪我，每天花個一小段時間秒回對方這樣，但他說我都不考慮他真的很忙，我就不再吵了，也習慣他沒花時間陪我的日子，現在變得沒有他陪也無所謂的樣子。
這是他要的自由嗎？
他忙的時候乖乖待著，有空的時候撒個嬌，很閒的時候再來陪我。他想要的是狗吧？",talk,3,moooooon,F,蜂蜜鮮奶茶乓共共
6,Dcard,https://www.dcard.tw/f/talk/p/255933431,2024-06-23 15:39:47,這種台南客人你要幾點下班？,"*上班*
🧛‍♀️客人😌我

🧛‍♀️：有沒有推薦的當地美食？
😌：哦哦！我覺得可以吃A（某食物）阿！
🧛‍♀️：蛤~我台南來的，那個台南很好吃
😌：..那可以吃B看看阿！處理的非常讚...
🧛‍♀️：這個大家都來台南吃這個欸！
😌：味道不一樣看看要不要嘗試阿
🧛‍♀️：還有沒有其他的推薦？？
😌：呃那C、D呢？伴手禮可以買E回去吃
🧛‍♀️：台南這些都超好吃欸...

😌：你要不要去死一死？再跟我說話？






開玩笑 我沒有說出來🌞嘻嘻",talk,1,,F,醒吾科技大學
7,Dcard,https://www.dcard.tw/f/talk/p/255933441,2024-06-23 15:41:00,請房東過來一趟要給車馬費嗎？,"事情是這樣的👇🏻
租房的鑰匙掉在路上，什麼時候掉的本人我也不知道
共有三道門鎖
（外面大門、一樓大門、房間）
我自己是習慣把鑰匙都放一起，常常忘東忘西的放一起才不會忘了拿，結果…只掉了租房的鑰匙，而且還是三隻！！我真的百思不得其解
https://sticker-assets.dcard.tw/images/e13e11a8-5917-4ea8-8005-a288c93fb21b/orig.png
懷疑是固定的五金鬆脫了… 

請房東過來幫我開門，也告知我自己會再去重新打鑰匙+誠懇的道歉，女房東說因為他隔天不會過來此地，要我聯絡另一位男房東，看是要約在哪裡還鑰匙就可以了

結果過沒多久收到消息，男房東說要我把打好的鑰匙放在信封袋裡+100元的車馬費

我當下是真的很疑惑，因為以往我租房子有東西壞掉或者鑰匙不見（對之前我就發生過一次但那次是車禍）也是請房東過來一趟，但都沒有跟我收取任何的車馬費

想問大家的看法 覺得這個是我本就應該給還是房東在亂收錢

（沒有說房東不好什麼的 我第一次遇到好奇大家的想法）",talk,12,f986412,F,狐獴
8,Dcard,https://www.dcard.tw/f/talk/p/255933471,2024-06-23 15:43:50,大家認為寵物友善的定義是什麼呢？,"我領養了一隻小狗
想要帶狗勾到處去遊山玩水 
所以最近一直在尋找寵物友善的旅館 餐廳 景點

可是發現台灣有蠻多地方其實都是假寵物友善
https://sticker-assets.dcard.tw/images/1ead96d0-0b9a-4375-82b3-f9af60f5a6af/orig.png


比如說某個住宿地點的寵物友善的但書：

歡迎攜帶寵物前來渡假，我們不額外收取寵物費用，惟以下情形將依情況收取500~1000元的清潔費：
1.寵物在室內留下強烈異味，致使該房間一日內無法販售。（有此情況的寵物建議自備抑制寵物異味的噴劑）
2.寵物上床活動且在床單上留下明顯腳印、髒污、寵物毛髮
3.寵物在室內嘔吐或便溺

我的狗勾大部分時間都不會脫序，
但是有時候連人類都可能控制不住嘔吐或拉肚子
怎麼能規範寵物不許在室內便溺或嘔吐了..

再來就是狗狗本身就會有股臭臭的味道
我覺得那很好聞 愈聞愈沉迷 怎麼這個也不行啦


https://sticker-assets.dcard.tw/images/1ead96d0-0b9a-4375-82b3-f9af60f5a6af/orig.png

大家覺得這樣有寵物友善到嗎 
https://sticker-assets.dcard.tw/images/25d38225-eca7-489f-aa32-47316eeebdce/full.png",talk,2,,F,國立政治大學
9,Dcard,https://www.dcard.tw/f/talk/p/255933466,2024-06-23 15:43:28,請益 租屋 鄰居樓梯堆放雜物,"目前租屋是住舊型公寓，是沒有管委會的，
想詢問各位鄰居再樓梯間堆放雜物，
有詢問過房東表示是無法處理的，

附上樓梯間圖片及對話內容，
想詢問各位意見


",talk,2,,F,長庚科技大學
10,Dcard,https://www.dcard.tw/f/talk/p/255935200,2024-06-23 23:17:47,請問有無推薦包養網站,"最近事業稍微穩定時間比較多餘，想要嘗試包養關係看看

有先嘗試使用交友軟體但是用了半天，不是詐騙，就是一些瘋子😅😅😅

所以來請問各位專家有無推薦的網站可以讓小弟去探索看看。 非常感謝 🙏🙏🙏",talk,0,ggc0404,M,gc04
