system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/mood/p/255938807,2024-06-24 08:39:06,警察是沒前途的人在當的嗎,"就你平常遇到的警察而言

Option #1: 是
Option #2: 否",mood,0,,M,國立臺灣大學
2,Dcard,https://www.dcard.tw/f/mood/p/255938874,2024-06-24 08:47:15,處女男,"網路上認識了一個男生，
前幾天因為他講話讓我有點不太舒服（表達方式）
所以我就沒回他 因為不知道跟他講什麼
結果他後面又傳貼圖 還會主動關心我今天有沒有發生什麼 跟我分享的也蠻多的…
現在也已經不太有疙瘩 傳訊息聊天蠻舒適！
只不過我發現 他很喜歡先已讀我的訊息
再來回覆（中間有間隔）
有時候意識到自己講話太白O 還會主動收回訊息
可能是怕造成不好的觀感
還會說我還在睡嗎 這類的 也會主動拍照分享
想請問大家這樣是不是有好感啊 因為處女感覺都很悶騷～",mood,1,,F,
3,Dcard,https://www.dcard.tw/f/relationship/p/255938897,2024-06-24 08:50:16,INFJ (or INTJ) 神秘健身型直男的性格養成及交友攻略,"前言：
因為答應給原po 弟弟講完整攻略，花了不少時間想著想著就弄上來。

原po 的狀況：
- 帳面條件不錯、
- 生活圈狹窄都是同性、
- 想要儘量不用交友軟體、
- 把自己生活填得很滿 但是男性和大姊大
- 會[土法煉鋼] 邀約女生認識，但總是有隔閡
- 自稱想對大家都好、對人注入善意，卻被貼上「海王」的標籤、有中央空調嫌疑
- 單身6年，沒有不能維持，但還是會想要找到一個知心伴侶
------------------------------------------------------------------

我的解題思路：
由於 MBTI 一個模式，用自身的心理經驗與經營人生的方式回答。以自我成長為主，輔以提昇自己的社交能力、可靠感，並在不刻意繞道浪費時間亂槍打鳥的自我經營道路上，讓自己散發正向氣質、廣結善緣。

目標：
- 逐漸會有機會修練成仙（誤）或讓自己變成一隻績優股、排除掉玩咖女、一個「身邊會慢慢有好女生欣賞」或「知道你的優質的老人或三姑六婆都會願意幫你助攻的情況」。
- 不主張追求女生。也不花時間 blind date。而是要把自己的展現的氣質變得「舒服、溫暖」，面對類似「萬一在火車同座、或是在路邊隨機場合」有女生需要幫忙，或自己剛好有什麼共同點適合認識交流時，這個女生會躲避或覺得為難的 直男barrier可以消失。
- 不海不渣不約不嫖。也一次篩選過濾掉身邊出現這種可海/可渣/可約/可賣的感情觀不單純讀異性。
機會：
- 過濾後碰到很契合的異性時，彼此會因為前期的過濾而很快認知到是對方。能夠跳過猜心的追求、樸實無華的牽起手。在一起之後再認真輸出自己的大愛以及珍惜的經營就好。沒伴也不強求

正文
－－－－－－－－－－－－－－－－
0 猜忌迴圈

因為我相信你全部放上來的內容，所以幫你解看看。 __ 有一個政治心理及人際動力學的概念叫「猜忌迴圈」。 如果A做什麼取決於B做什麼，而B做什麼取決於A做什麼，那麼軍備競賽、掠奪性定價和衝突就會發生。 這種惡性迴圈是升級系統原型的決定性元素。 ⋯⋯ 「渴望安全感」的是核心驅策行動的核心方針，卻存在根本性的困境：雙邊採取更多的措施以獲得安心，雙邊就越不能安心。 
由於女生一旦交友不慎，性別上更吃虧，大部分女生（特別是年輕經驗不足的）喜歡同儕「口碑」。 白話文就是一旦你有異性緣突破，社群上看起來受女生歡迎，或開始有好口碑（背地裏）在異性當中流傳，更多的異性要近你、跟你互動的心理門檻就會降低。 我相信在「興趣優質、外型不錯、感情觀乾淨、整體透露健康生活與人際關係單純」，98%的女生第一印象不會排除跟你認識的意願。 然而生活圈導致你的人緣無法出圈，而這就很考驗女生要怎麼信任你（你連休閒興趣都不適合破冰的）。 

這件事非常的弔詭，經濟學和人際動力學上被稱為「凡有的、還要加給他，沒有的、連他所有的也要奪去」的馬太效應。 ——看起來有海王樣（但不是真的海王）反而不是會被當海王，但生活圈中與社群上一個異性都看不到的，被貼標籤後反而啞巴吃黃連。 

這種情況我見過不只一個。我作為虛長差不多一輪的同性一看你運動紀錄跟INFJ就懂了。因為你非常會填滿自己的時間，而且以你的代謝量跟鍛鍊，也沒辦法到處亂吃什麼；自己下廚煮健康餐是必須的。 時間不亂花、有很高的反思以及獨處學習生活的能力。一個人逛書店、一個人上街一個人出國旅行、一個人看電影都不在話下。 

但無法這樣推理的異性，無法信任你 
→ 「你旅行、看電影、逛街，是跟誰約會？」
→ 「出國？去越南泰國跟炮兵團？」 
→  在外圍看，只會覺得你可能私下約很大、「時間管理大師」。 
這時候再加上你那些拉椅子、搶買單的動作，還有你健身不吃甜食卻專門點來跟對方吃⋯⋯ 一個中央空調暖男，女生直接對你防備心拉滿😂😂 

「為什麼你外在這麼體面，沒有一個其他女生願意試？有問題嘛～」「為什麼你要把約過交往過的女生藏這麼好？」 ——這就是「猜忌迴圈」。

由於現在人心險惡，知人知面不知心。對於陌生的種族過於接近的舉動，現在人（特別是兩性關係上身體比較容易吃虧的女生）會忘壞、惡意的方向去猜，或至少會覺得十分有壓迫感、也很不自然。沒有口碑，你越有誠意、越紳士，人家越防。 要我腦補情境，搞不好你遇過女生兩兩交換情報，彼此慶幸如何閃掉了海王套路沒有上鉤。 （也就是因此，才會都是阿姨、大姊姊們貪婪地對你出手。因為通常她們品男的歷練眼界多了，沒幾下就能判斷你是乖乖優質小鮮肉。 同時我想她們包袱也比較少沒什麼不敢嚐、甚至覺得你的反應很好預測都說不定。不至於防你是肯定的。）


1. 萬事起頭難

一間新開的店、沒有人排隊。新上架購物商城的新貨品，沒有交易記錄…第一單一定最難，因為沒口碑。（年輕）女生就跟猶豫中的顧客一樣，你一個舉動怪異，人家就不願意冒險了。
增加社群互動的透明度：
由於外界對你的不夠信任，一部分來自於你私人獨處生活的不透明，你應該考慮經營社交媒體、記錄日常活動。例如健身、旅行、電影、讀書和其他興趣愛好。
健身是很多素材的，也幾乎沒有在練的人是不記錄的。所以這部分不用多談。旅行，也一定會照相、會有心得吧？這些就跟電影、讀書、下廚做菜是一樣的。
假如你的生活真的如此「精實」和多彩多姿，那麼誠實地呈現出來就是一張個人簡歷、一個自己的無聲口碑。
對電影及讀書的藝文氣質呈現，要避開的雷：
不要：不要拍一張票根存根跟手指入鏡、不要拍攝淨空的書店走道這種意義不明的無人圖，不要講一兩句堆含混的文青呢喃，
要：寫一點真的自己思考過的內容和感觸。只要是來自你本人的靈感、GPT可以幫你 blow up、言之成理——但想法得要是你的，我不教旁門左道。
要：電影，拉一張劇照放頭比較好看。末張圖可以放票根（擺好、手指不要入鏡）。書，可以是一段你畫線的話。配文一樣 Idea + GPT。如果逛書店，拍攝整片書牆、相機拿正／圖片轉正，格局方正又書多的樣子是比較好看的。
你生活中最接近女性的共同喜好，就是這些藝文活動部分了。你不應該浪費這部分。特別是你其他運動的部分這麼陽剛，就算要認識你找話題，女生大多也得從這部分找。（還有一個部分就是音樂）

2. 「直男式油膩」是大忌

關於直男這部分，你說周邊男生認為你直男，我認為認識你的女生一定也是一樣看法，毫無可疑空間。但是你的陽剛的方式太陽剛，紳士的部分又太刻意生硬，這就造成一種所謂「直男式油膩」，直接效果是把女生嚇跑及勸退。

女生的內心感覺應該是偏向：「壓力很大」、「不想被你那麼刻意地「『呵護』」、「太有目的性的感覺」、「擔心接受你的好意，又無法下定主意回應你、冒險跟你發展關係…」
基於以上想法，被你對到眼、約會吃飯過一次的女生，大概就只好先閃、觀望退避一點距離再說——一旦閃了，又沒辦法只退一點點退到能「觀望的距離」——你生活圈太固定跟封閉了，阻隔了人們從生活圈慢慢看懂你的為人意圖、還有控制節奏跟你慢慢先作朋友的可能性。

因為你的戀愛手法粗糙，整個人又壯，普通年輕女生（自己是健身的女生就沒問題）要跳過觀察期、朋友期，直接鎖定跟你一對一曖昧的，除非自己也超級缺戀愛經驗，不然你要的「氣質型」真的會跟你這個相處模式不太搭。

3. 「憑實力單身」的直男邏輯

從你的自介，還可以一一舉例修正：
「大學之前，都在體育班和男校。健身這一塊，因為自己訓練強度比較高，所以女生基本上也不敢問我或是找我一起訓練（題外話：最近一、兩個月把每週一cycle的肌群訓練提升至兩cycle）」
→ XD 所以難道你的訓練知識用在幫忙健身初心者的妹子踏入第一步嗎？難道一般的初入健身房的妹子，看到一堆雄激素在那推大重量、槓片砸下來回彈的鏗鏮聲、悶喘聲，是會露出痴女樣的嗎？

女生做一些事都知道有欣賞的目標異性在時，要收斂（如爽朗大笑聲、吃相），男生也一樣。如果你都知道問題是你都這樣所以女生「不敢」借鏡你的專長，還要繼續這種只能吸引基佬、憑實力單身的「專業模式」嗎 ？

「興趣」模式：在該成為關係引路的媒介時，它就有要興趣的樣子——專業是留給自己的。
「在學時，同性友人也幫我設法安排過桌遊聚會（阿瓦隆），但後面因為我太擅長（騎士牌常被當成梅林），我很容易猜透對方身分，朋友們覺得沒意思，後面就不了了之了」
→ XD 所以你這不就是「憑實力玩沙」嗎？男女相處的女生都會在某些時候事實裝弱、裝不懂，所以難道你玩個牌都要這麼掃大家興嗎？很會玩可以去玩德州撲克賺錢。但是平時隨性一點、放鬆一點，才會讓你覺得你好相處、有彈性。


4. 認識自覺 IN-J 「機器人」般的開關思維

你還有一些自己的文字我搜刮來幫你拼湊，當作照照鏡子：
「外表、行為舉止、氣場都讓人感覺難以親近，但認識後，才發現和想像不一樣」
「吃飯會幫女性友人拉座位、買水會主動幫忙擰開瓶蓋（在女性面前，避免被誤會有在水中加料）、女性友人選甜點三心兩意時，我會點她另外想選的甜點再跟她分享，畢竟自己不是很重甜食，」

IN-J 這三個性向，都會反應在性格及做事喜歡「模式化」、「規律化」，不太喜歡散慢、不太喜歡模糊、彈性、隨感覺隨適調整；所以你會遠不如有 ES-P 這三個的人容易跟破冰跟人打成一片、拓展生活圈交新朋友，這是本性、個性，無關對錯。

「在工作上，必須表現得沈穩，…想說在Dcard上又是匿名的情形下不用那麼沈穩嚴肅」 → 例如這裡，你在這一版文章是想表現得不那麼嚴肅，卻變成充滿表情包誇張不真實的文風，被人家指出不自然（不能只說你，我 MBTI 跟你一樣，也是一樣問題——不會「演戲」、過猶不及、事情想太多、展現出來的都是給人僵硬感）

我們只能多注意：
不要把生活模式當練功模式
不要把跟女生約會流程化。特意給有意認識追求的女生開啟「殷勤模式」不可能手段自然。
女生只會雞皮疙瘩OS：「現在是要上演求婚大戲了逆？」「還是等下要去開房間才能回應你這套了？」

5. 不要對女生太好

INTJ / INFJ 過來人保證基本性格不變，但待人接物的純熟度會倒吃甘蔗。極端的部分，一開始只有0到100、慢慢會抓到10跟90的感覺、再慢慢地社交肌肉，的操控感會更好。
就像健身如果只有做大重量大肌群，身體是僵硬的。瑜珈、拉筋、籃球的配合，這些肌肉筋腱整合協調的動作也要多做，把柔軟度及小肌肉的靈活度練起來。

但是，一開始請不要對女生太好。「無事獻殷勤非奸即詐」，這就是猜忌迴圈。女生的猜忌是「騙炮？」這個只要你有那根，都洗不掉。所以要突破「猜忌迴圈」，你下面這句話的意思要整骨一下：

「我也想全心全意對一個人好，但沒另一半，就只好對大家都好，活在這個充滿惡的社會，我希望更多人能接收到世界的善意～」 → 「活在這個充滿惡的社會，我希望更多人能接收到世界的善意～所以我想全心全意對每個人好，直到可以回應我的人出現」
這兩個意思有什麼不同？

次序非常不同！一個是：博愛只是你愛不到「另一半（魚）」的「蝦」，另一個是，博愛才是你對待世界的底層基本心態，而你會不求回報地直到這世界以自己的善良方式回應你。
次序的不同帶出不同的應用對象。

假設你的是愛不到另一半你才「博愛」，那你的博愛當然是只會聚焦在能夠給你「另一半」想像、跟替代感受的女生身上；如果是這樣，嘴上講著那些博愛正能量的話，實際上人的一股油味就飄散出來了。

失學少女大家都想救助，不缺你一個。

6.  說到做到「全心全意對人好」 ：真暖男心態養成

真暖男，是社會關懷、體貼照顧弱勢的。眼光本就不應該只有年輕妹子嗎？：年輕漂亮妹子根本不缺幫助、不缺工具價值，你我關心他們，真有自己說的那麼暖？如果你的關愛很有針對性，誰不認為你是想騙人家尿尿的地方？

同為男性都是同感，所以不單是為了打破「猜忌迴圈」（我早就打破了），也是為了獲得真正的自我價質感、社會連結感，我決定把目光轉開，擴展個人對人文和公益的關懷。

像是：我本來多年就有定期去花蓮偏鄉給社會局的感化少年上課；去北海岸淨灘；去台北車站跟印尼移工過齋戒月；去萬華分發街友食物；中秋節邀請單親帶三個小孩擺麵攤阿姨一起來家裡烤肉、除夕夜吃年夜飯給他們紅包打氣。天災後，去原住民深山部落幫他們送物資。

我會投書倡議非主流議題，為弱勢權益發聲；在路上幫助觀光客英文帶路；幫西門町捷運提大包小包拉登機箱的日韓女生拉上樓梯，點個頭然後飄走。對不分性別未曾謀面的網友，我熱心分享經驗、給予幫助或開導。——做這種事，心態會變得很瀟灑、背影會變得很帥氣。

對於女生，我後來每年都有人一直主動黏跟追。後來我也學到，大家都是人生父母養。像有些是粉絲，有時候有點侵犯生活空間和講話越線，我也學習如何更有耐心好好接住心意、跟對方說明可以有合理但不要有不合理期待。


--------
00. 總結紀要：

- 口碑傳播：女生看到「其他女生」也想貼近的強者就會很快接納，因為她們更信任「同儕」的口碑和眼光。

- 「不要」在約會時對女生刻意大方、失去冷靜：而是要對整個社會、對這個世界大方敦厚、熱忱。在現代社會，年輕美女不是弱者、不缺關注不缺資源。要打破女生「猜忌迴圈」，我們 IN-J 天生也不是靠獻殷勤破冰的料，必須要從我們自己整個做人原則的方式與順序調整開始，讓整個人的氣質態度，散發可靠、正經直男、高端禁慾的機械感。

- 自我成長：你的情感突破需求，雖然是希望女生「有口皆碑」，但我們的目的不是要爭奪選擇權、不是要讓自己獲得「海王」的選擇能力，而是給自己理出一個可以「長期穩健自我增長、與社會網絡與同儕關係和諧」的生活實踐路線。

- 自我策展：社群媒體的生活軌跡，就是公開名片，可降低你的獨處生活給予外界的不透明感、突生猜忌。將不斷自學精進的專業、自我外在維持、旅遊閱歷、藝文品味…等等策展表現出來，就是一個自己的生活作品集，有助於引起分享討論（無論是姊妹淘們私下討論你這個人，或以網友型式跟你互動，也觀察你的知識才學程度與談吐素養）。

- 施力對象：我們的心法從一慢慢推到六、六最關鍵。我們說過，身為INFJ/INTJ 的男人，經營沒有框架、模稜兩可、曖昧猜心收放自如欲拒還迎的拉扯感，不是我們的強項、內心也會很焦慮不舒服。我們不喜歡做事鬆鬆的、不到位。但我們如果一下太用力、太流程化，很少有女生不感到壓力。所以在我們變成一個有口碑能夠讓人家願意排隊的「名店」之間，我們都不應該像這個客群兜售自己的社會價值。

想像請人試吃、試用產品，「（熱門的）女生」這個客群會怕試用就要買、試吃其實有毒——因為太多人想營銷她們、太多人想要她們掏錢購買自己。所以先不用管她們（以後也不一定用管）。我們應該把力量用在不會「嫌棄」、「猜疑」、也無法回饋我們的對象。例如：獨居老人、流浪狗貓、育幼院童、罕病患者、性少數、街友遊民、陌生路人…
（話說：有次我曾摔車，當下傷到起不了身，一對 Youbike 年輕情侶經過立刻停下，男生來關心我、女友則立刻叫男生先幫我扶車移開馬路。最後靠他們叫的救護車。想起來非常感激，祝他們幸福～各自有好報。）",relationship,0,breath36,M,威斯康辛大學麥迪遜分校
4,Dcard,https://www.dcard.tw/f/relationship/p/255938724,2024-06-24 08:30:00,明明愛 卻又想分手 #文長,"跟男友目前交往2年多了 目前同居中
男友也非常的愛我
其實也沒有什麼大吵大鬧 日子很平淡

在去年底的時候曾經提過一次分手
那時候工作壓力很大
男友時常跟我爭吵不多陪伴他
加上有第三方對男友的積極追求
男友也沒有特別拒絕對方
一部分是因為我那時候就已經有想要分手的念頭
所以希望男友如果不討厭對方
我們可以退一步當朋友
所以放任其發展
男友也會跟我報備他跟對方做了什麼事情
但當我提出實質上的分手的時候
男友馬上把對方封鎖乾淨也不再往來了
在最後一刻被男友的苦苦哀求下
還是沒有離開他

他變得很沒有安全感
我也沒有，他是一個很受異性歡迎的人
上班的地方有非常多的人暈他
他總是夢到我想要離開他
所以開始要求越來越多的限制
我也因前一段時間第三方的介入也沒什麼安全感
變成了互相限制對方的關係
每天也會去互相檢查對方的手機

其實當下相處的時候也還是很開心
看著對方時也會覺得很喜歡對方
但當分開的時候（上班/出門/回父母家）
腦袋就會一直不斷浮出想要分手的想法
再三提出我的心情男友總是說
沒有我他會死 難道不能再一起努力看看嗎？
（男友有重度憂鬱症）
總是在最後一步心軟而不忍心分手
會想著現在也沒有什麼第三方 也沒有大吵架
而且我也能感受得到他真的非常愛我
好像又沒有非要分手不可

但從去年提出分手到現在也半年多了
想分手的念頭一直揮之不去
男友也問我願不願意跟他結婚
我在曾經是主動希望他娶我的
但現在卻覺得再看看
以前我也是很願意公開他在我的生活圈
但因為男友工作的因素
要求我不要公開關係
現在他願意公開關係我卻害怕萬一分手了呢
現在男友的許多願意為我改的事情
我第一個念頭都是覺得 來不及了

覺得自己無法跟這個人以伴侶的形式長久下去
覺得自己很想要自由
想要能夠不要對這份感情一直處於這種心態
我覺得這種猶豫不決的想法很傷人
但男友說即使不愛他 離開他是更讓他難過的事情
我沒有不願意當壞人 可是
無論如何他都不願意放棄我
也不願意放棄這段感情

還是其實這只是感情淡掉的正常情況
我也想過也許
新鮮感始終會過去
沒有人能永遠持續的愛一個人
愛情只不過是在漫長的生活當中
一次次重新愛上對方

我真的很愛對方 又覺得被想法壓得喘不過氣
感覺幸福但不快樂
也曾想過是不是這是習慣而不是愛
能夠改變這個矛盾的心態也好
我真的不知道怎麼辦才好了

如果有人不小心認出我
請不要跟我或對方詢問是不是本人
認真覺得困擾好久了 希望勿鞭
謝謝",relationship,0,,F,
5,Dcard,https://www.dcard.tw/f/talk/p/255938492,2024-06-24 08:03:21,覺得家人超機掰,從小什麼都不讓我去選，小學去安親班，國中補習補全科從不問我興趣，高中也不跟我討論什麼產業優勢跟我說機械系不會餓死就叫我選，只有大學可以選個設計系，他媽要找工作了要我去選科技業的，你們要等我大學畢業才跟我說產業的優劣是不是有點晚了，如果你們一開始就希望我走科技業那應該高中就可以跟我說，不是等我找到自己有興趣的產業才說吧，別人讀四年讀假的是吧,talk,0,ll112341,M,匿名
6,Dcard,https://www.dcard.tw/f/relationship/p/255938089,2024-06-24 07:15:02,大陸 直播主,"最近另一半 都在看大陸直播主 時不時會抖內
其實我倒覺得這沒什麼 就算是個娛樂消遣
但比較介意的事 他跟直播主 私下有聊天 
對話也曖昧曖昧的
他跟直播主的對話也有什麼 雙向奔赴之類的
有時只是頭瞄過去看看他在幹嘛
他就是不讓我看 連他在看直播的當下
我說想一起看 他手機也是拿遠遠的
實在不曉得該怎麼辦
另外他有說要飛大陸 一開始說是跟朋友一起去玩
但後面發現他是想去找那個直播主 
才有大陸遊的想法 有跟他說過 
如果你去了我會很難過 但他好像並不在意
想想自己陪在他旁邊 他卻為了一個外人 飛過去
自己顯得很不那麼重要 心蠻涼的
他都決定了 我也不能怎麼樣
看直播也是看著直播傻笑 
想跟他抱抱也是說等一下 不會理你
每天只要有開播 大概率就不會理我了

想問問各位如果是這樣該怎麼做呢
想聽聽各位的看法",relationship,0,chris910609,F,律
7,Dcard,https://www.dcard.tw/f/talk/p/255938781,2024-06-24 08:36:24,台南永康某健身房副理使用詐術,"勸世文
來説個各取所需的小故事
希望警惕到某些認為藉由犧牲自己，可獲得愛情的傻女孩們
這個故事的女主角非但沒有得到她想要的，付出後的後面還得承受更多更慘痛的代價。
她其實也要為這件事負責任，只是她要怎麼負責，才能對得起自己呢？
唯有想到的就是請本貓幫忙上這篇現在進行式，會有各方不同的回應，傷害別人時也傷到她自己
這是她的選擇，也是當時男主角的選擇共同帶來的後果

以下正文

永康某健身房副理（簡稱J)從前年尚未晉升副理前因業績壓力屢次向學員求情，
Ｊ：「被調走我真的會去死」、「能不能拿Ｘ萬出來？其他人都試過了，只能靠你了，拜託」、「我身上都沒錢，錢都拿去給家裡了」、「是妳幫我等話，J向另一名教練表示不會辜負學員的感情。
並向學員表示與某女關係為普通朋友，她長得不好看、不喜歡她、沒有聯繫。
從前年學員認識他開始自稱沒有女朋友、單身。

最近學員於網路上發現J與某女早在前年開始互稱老公老婆、親密合照，
詢問J該事遭已讀不回，當學員提起Ｊ曾說過的話時，遭矢口否認（論錄音的重要性）
學員為了他業績欠債，除了以現金購買課程外每個月另須償還約四萬元的信用卡債務（皆是課程金額分期）無法負荷其生活所需選擇包養償還每月債務。

J得知學員包養，當金錢壓力不堪負荷時更提出不希望學員退費的要求，利用學員感情博取同情心，低劣手段達到業績目標升副理職務。
於去年10月21日課堂期間J向學員口頭表示:「如果不嫌棄的話可以選他結婚」、「我不想只跟你當普通朋友」刻意營造愛情的承諾、利用同情心和情緒勒索來誘拐學員做出不適當的選擇。
而學員因包養身體陸續出問題、慢性發炎，身心俱疲。

Ｊ一邊佯稱單身，一邊與其他女生交往，把學員當工具人提款機，晉升副理職務與某女吃香喝辣，而學員獨自承受債務與身體狀況，J享受著學員犧牲自己為他帶來的成果，與某女過著幸福甜蜜的日子。
要求給合約一直推託，當學員向J要求給合約當天，居然被J要求補簽合約書，沒簽不能走，
當學員要求帶回家審閱後補簽，J無視定型化契約審閱期規定，“直接告知學員沒簽沒辦法讓學員把合約帶回家，公司要存檔，合約可以讓妳拿走但要簽完才能讓妳走。”讓學員感受到脅迫而簽（擷取自錄音檔求證）。
學員要求退費剩餘堂數的費用，寄投訴信與收到消基會申訴公文後，該健身房皆未回應，一拖再拖。

J未經個人同意在客人、其他教練在場大庭廣眾之下喊學員別拿包養的事來威脅他，激怒學員使學員情緒不穩，然後再跟學員說因為在健身房哭泣大家都在看學員的笑話。

請問該健身房可以放任教練向學員亂說話並推託責任到學員身上、讓學員顏面盡失不敢約課?

J過往的黑歷史（與一名男同志學員感情金錢糾紛、利用人頭造假業績等）屢屢出事，堂堂一個上市連鎖健身房，居然是以感情誘拐、詐騙的手法提升業績量，還留下這種品德不良、滿嘴謊言的員工？

該公司主要客戶大多為社會大眾，女性也很多，本職應是讓越來越多人開心運動、擁有健康的身體，訓練員工方式居然選擇睜一隻眼閉一隻眼默許管理職員工利用詐術欺騙感情達到業績量，孰不可忍！

＊文中提到的錄音檔不會公佈，退費調解時將呈上給消保官

現在這件事已讓事件中的女主角內心瀕臨崩潰，時常做惡夢夢到Ｊ，也夢到官司不會打贏等....
夢中那種內心充滿被欺騙與痛苦（失去、身體染污已經不是自己、債務壓力）的感覺一直延伸到夢醒後，常常哭泣、沮喪，最近這幾天看到該公司與其他分店的學員與教練間消費糾紛調解時，該公司置之不理更嗆學員去法院解決的事件（詳見靠北教練），看到那篇文章，讓這位女學員對於該公司至今尚未回應、聯絡學員和解更感到焦慮
讓人最感到憤怒的是，為什麼Ｊ偏偏要選她來欺騙？  她到底做錯了什麼？  要這樣傷害她！！
猶如Ｊ向學員說的，一切都是自己的選擇。 （但這個做選擇基礎之下是謊言啊！！）

＊現女主角仍不定期去健身房默默自己運動 都走器材後面走道，能繞過教練櫃檯就繞過 也停止上教練課約兩個月了 不想為了這件事就終止自己運動  偶然會遇到Ｊ，內心雖然會恐懼 但還是得勇敢 不怕Ｊ
__________________________________________________________________________________
或許看到這裡  可能會有親友團出面 截圖部分對話試圖打臉女主（女主曾經有向Ｊ表示過自己是心甘情願 做這些事情，沒有想用愛情綁架他，如果Ｊ日後找到喜歡的女生，那就去吧、以及學員租兩萬元房子半年 ）不過本貓認為不能因為這些對話而否認他謊稱單身、欺騙、情緒勒索、跟女主說不嫌棄他可以選他結婚、甚至去年十月底學員崩潰大哭跑出去時，Ｊ追過去找女主， 問她能不能當他女友、學員的確為了他選擇包養的事實（雖然女主那時拒絕），所以其實Ｊ和女主是沒有在一起的。若女主那時答應了，現在立場是不是就比較能站得住腳呢。

＊後記：該店的同事也都以為他是單身，出事後才知道。 所以大家之前也被他蒙在鼓裡。在被揭穿後，Ｊ居然說他跟那女生交往是因為那女生用錢幫Ｊ把家中債務還清，條件是要當那非親生小孩的爸爸.，所以入贅＝＝滿嘴謊言的Ｊ，早被女主發現他在跟前前女友分手後2020年當年早就交往了，已經交往四年多，出事至今還在鬼扯  

呼籲大家能看清此健身房的嘴臉，還有購買課程一定要小心  無論是永康還是其他分店都是一樣
警惕自己(尤其從小到大沒父親的女生  也沒得到什麼母愛 長大才知道自己嚴重缺乏自信心 缺愛特感受到孤獨感）不要自己受傷，變成出事後還得面臨健身房不退費 揭穿真面目後還是繼續乖乖還債  幫別人男友供應業績爽過日子
事到如今，男主仍替自己自保  寄出投訴信給公司後隨即該女ig、threads鎖起來避風頭（也可能在裡面罵女主）  公司放爛至今無和女主角聯繫談當時合約所引發的消費爭議。

當上副理前








當上副理後









Ｊ曰：『奶根本沒什麼」、「我又不喜歡小孩」




",talk,2,happy588,F,特斯貓
8,Dcard,https://www.dcard.tw/f/talk/p/255938476,2024-06-24 08:01:58,會碰線上娛樂城的，到底智商有多低,"在低卡看到無數個因為玩線上娛樂城，把存款賠光的文，就在想到底還要有多少人上當阿

除非你投注的是台彩的號碼，不然其他所有玩法都可透過電腦控制

而且賭客還有機會收到警察起訴賭博罪
真的不想再看到有人因為這樣而自殺了
希望這篇可置頂",talk,0,bemehom,M,清
9,Dcard,https://www.dcard.tw/f/talk/p/255938215,2024-06-24 07:29:24,美國副總統、英國首相、矽谷知名大公司CEO多數是印度人，印度人口已超越強國成為世界第一大國，並且沒有老化現象，多數是青壯年，未來有一天，印度人統治世界？,美國副總統、英國首相、矽谷知名大公司CEO多數是印度人，印度人口已超越強國成為世界第一大國，並且沒有老化現象，多數是青壯年，未來有一天，印度人統治世界？,talk,0,happyjuice,M,基因決定一切？！
10,Dcard,https://www.dcard.tw/f/mood/p/255938363,2024-06-24 07:49:05,入職兩禮拜被老鳥電,"如標題，我入職X雅（工讀生）已經兩個禮拜對某些商品位置還不是很熟悉，近期第一次做在68時同時做架上商品有庫存時需做回補的作業，也是第一次做其他部門的68架上我們店是新式的貨架因此會多一層這部分也還未適應，只是因為整理檯面時，有幾處沒有整理到及因不熟悉商品位置去問老鳥時被噴，被罵雖然是正常的但過程中有用到如4之類的字眼導致感受加減有些不適，想請問各位在菜鳥期是否有遇到類似的情況，有這樣的老鳥上司在是否該在這樣的環境繼續任職，此為被老鳥電爆之部分。
身邊有朋友在問我說是否有打算在還沒畢業前在房仲業闖看看，自己是覺得還不錯啦想問看看板上各位的意見，如想在畢業前從事業務性質的工作各位會推薦哪些性質的業務，誠心祈求賜教。
以上如有描述不清的地方在麻煩於留言區告知，小弟會儘速補充或更正內容。",mood,1,,M,
